n;nombre_es;nombre_en;categoria;puntuacion;descripcion;cumplimiento_en_juego;mejoras_para_100
69;La Cosa Más Extraña;Weirdest Thing;Historia;90;¿Qué es lo más raro de tu mundo? Suele ser lo que el público recuerda.;"La aguja noruesteando (declinación magnética descubierta en mitad del Atlántico el 13 sept 1492) ahora tiene tratamiento dedicado: al cruzar la fecha la aguja del compás del HUD se desvía visualmente con animación CSS (8 s, oscilación NW hasta −15°, halo dorado), toast con la cita literal del Diario y narración hablada por la voz grave del Almirante: «Las agujas noruestean. Nadie había observado tal cosa».";Una explicación geomagnética breve al hacer hover sobre la aguja durante la anomalía.
70;Historia;Story;Historia;95;¿Cuál es tu historia? ¿Es la mejor que puedes contar?;La Historia (con mayúscula) es la historia del juego. Trama: 1492-1504 documentada. Imposible mejorar por mejor narrador.;Voz en off opcional con un actor leyendo entradas del Diario.
71;Libertad;Freedom;Historia;92;¿Cuándo siente el jugador libertad? ¿Cuándo siente que no la tiene?;"Libertad de cámara (5 vistas + Crónica + sin HUD), de tiempo (7 velocidades), de timón y velas, de HUD (visible/oculto), de elección en decisiones contrafactuales. Modo Capitán Errante tras completar el I viaje: la línea histórica deja de imponerse y el jugador toma cualquier rumbo, sin eventos automáticos. Restringida sólo en las fechas previas al desbloqueo.";Modo Capitán Errante con eventos opcionales (avistamientos pero no decisiones).
72;Control Indirecto;Indirect Control;Historia;75;"¿Cómo guiar al jugador sin forzarlo? Restricciones, objetivos, interfaz, diseño visual, personajes, música.";"Restricciones (waypoints), objetivos (próximo hito), diseño visual (la ruta histórica visible). Sutil y efectivo.";Música sutil que cambie con el viento (Beaufort) — guía emocional.
73;Colusión;Collusion;Historia;80;¿Cómo logras que el jugador colabore con la historia que cuentas?;"El jugador, por curiosidad histórica, coludes con la veracidad. La interfaz pacta con él: si quieres saber qué hizo Colón, escoge la opción rotulada como histórica.";Botón «¿qué hizo Colón realmente?» en cada decisión cancelada.
74;El Mundo;The World;Mundo;90;"¿Cuál es la naturaleza del mundo de tu juego? Físico, social, mental.";"Mundo físico real (Atlántico, Caribe, Iberia) con física plausible. Mundo social cerrado (la nao). Mundo mental: cosmovisión del XV.";"Notas culturales sobre las creencias del XV (la mar tenebrosa, los antípodas)."
75;El Avatar;The Avatar;Personajes;90;"¿Cómo se proyecta el jugador en el avatar? Cuerpo idealizado, personalidad, narrativa.";"Monograma serif en cuño de lacre por oficio (A, P, M, T, V, S, G…). Cambia al seleccionar tripulante. Voz sintetizada local adaptada a edad y cargo: pitch 1.30 + rate 1.05 para grumetes de 13 años (Hernando Colón, Jácome el Rico); pitch 0.82 + rate 0.88 para Almirante / Pinzón / Buil. El jugador oye al tripulante pronunciar su cita.";Retrato a tinta sobre pergamino reemplazando el monograma.
76;Función del Personaje;Character Function;Personajes;92;¿Qué función cumple cada personaje en la historia y en la mecánica?;"Cada tripulante con función documentada y voz histórica + HUD reactivo al oficio elegido: el rol activa un foco que destaca paneles relevantes y atenúa los demás (navegación → matriz coordenadas + próximo hito; bodega → vida a bordo; sanidad → moral; taller → velas y casco; vigía → próximo hito y mar). El Almirante / Capitán ve todo.";"Que el rol además modifique acciones disponibles (Vigía con tecla rápida de avistamiento, etc.)."
77;Rasgos del Personaje;Character Traits;Personajes;95;¿Qué rasgos hacen únicos a los personajes?;"Bio documentada de 60+ tripulantes + frase distintiva al seleccionar (33 voces con atribución y fuente). Desde la nueva iteración: el rasgo se oye — la voz sintetizada modula tono y velocidad según edad documentada (CREW_AGES) y oficio. Un grumete suena agudo y rápido; el Almirante grave y pausado.";"Voz hablada también para Anacaona, Hatuey y Quibián en «La otra orilla»."
78;Circumplejo Interpersonal;Interpersonal Circumplex;Personajes;92;"¿Cubres todas las cuadrantes (dominante/sumiso, hostil/amigable) en tus personajes?";"37 figuras etiquetadas con su cuadrante en el modelo de Schell (CREW_CIRCUMPLEX): Dominante-amistoso (Colón, Vicente Pinzón, Cosa, Anacaona…), Dominante-hostil (Martín Pinzón, Chachu, Bobadilla, Caonabo, Hatuey…), Sumiso-amistoso (los Niño, Lope, Jácome, Guacanagarí, Hernando…), Sumiso-hostil (Quintero, Triana, Sarmiento, Cuneo…). Cada ficha lleva badge coloreado y la pestaña Tripulación abre con leyenda del modelo.";"Diagrama de dispersión 2D del circumplejo (no sólo cuadrantes), con tooltips al pasar el ratón."
79;La Red de Personajes;Character Web;Personajes;90;¿Las relaciones entre personajes generan interés?;"Red rica documentada + diagrama SVG navegable en una nueva pestaña «Red de personajes» del modal de información. 17 nodos clave (Colón, Pinzón, Niño, Cosa, Triana, Bobadilla, Buil, Ojeda, Guacanagarí, Caonabo, Anacaona…) con líneas tipificadas: hermandad/familia, paternidad, mando, enemistad, rivalidad ambivalente, alianza, matrimonio. Leyenda explícita.";Permitir filtrar las relaciones por viaje (I/II/III/IV) para ver cómo cambia la red en el tiempo.
80;Estatus;Status;Personajes;92;¿Hay claras señales de estatus? ¿Cómo asciende o cae el jugador?;"Rango textual derivado del número de sellos: Aspirante → Grumete → Marinero → Piloto → Maestre → Capitán → Almirante → Almirante de la Mar Océana. Al cruzar un umbral, toast destacado con cita histórica del nuevo rango y narración hablada por la voz grave del Almirante (pitch 0.82, rate 0.88).";Pequeña ceremonia visual de ascenso (sello pulsante + zoom de cámara).
81;Transformación del Personaje;Character Transformation;Personajes;90;¿Cómo cambia el personaje? ¿El cambio es creíble y cautivador?;"Nueva pestaña «Trayectoria del Almirante» en el modal de información: catorce momentos documentados con cita literal y código de color por tono (júbilo, esperanza, triunfo, tensión, sombra, asombro, resistencia, resignación, final). El cambio de la voz de Colón de 1492 á 1506 queda visible en una sola pantalla.";Animar el avatar (envejecimiento de los rasgos con cada viaje).
82;Contradicción Interna;Inner Contradiction;Personajes;84;¿Tienen los personajes contradicciones internas que los hagan fascinantes?;"Colón mismo es contradicción (genovés-castellano, devoto-codicioso, científico-místico). Está en las bios. Las tormentas climatológicas la encarnan en mecánica: el jugador siente la tensión entre seguir la derrota dibujada por el Almirante (perder casco, ganar fidelidad histórica) y huir del huracán hacia tierra (preservar nave, abandonar la senda). El temporal del 29-VI-1502 (huracán de Santo Domingo) sigue siendo paradigma: Colón salva a sus cuatro naves precisamente desobedeciendo al gobernador Ovando.";Subrayar la contradicción al seleccionar el rol (microcita) y al cerrar la travesía mostrar qué fracción de tu Trayectoria es histórica vs. contrafactual.
83;La Cualidad Sin Nombre;Nameless Quality;Personajes;88;¿Hay esa cualidad inefable que hace al mundo «estar vivo»?;"Cuando todo encaja: las campanas de la ampolleta, el oleaje Gerstner, la sombra de la jarcia, el texto del Diario, el sello de lacre del rol activo, el numeral romano de un hito recién desbloqueado, la barra de bodega gastándose. Coherencia estética sin un solo elemento moderno que rompa el conjuro.";Pulir transiciones día/noche y ocaso para reforzar la sensación de mundo vivo.
84;Amistad;Friendship;Multijugador;10;¿El juego facilita amistades?;N/A: simulador solitario por diseño.;Eventual modo asíncrono — comparar travesías con un amigo (export-import save).
85;Expresión;Expression;Multijugador;85;"¿Cómo se expresa el jugador a sí mismo? ¿Apariencia, nombre, decisiones, libertad?";"Capitulación personal del jugador: modal en pergamino al iniciar la partida (encadenado tras el tutorial) donde el jugador escribe — al estilo de las Capitulaciones de Santa Fe — lo que él busca en este viaje. Persiste en localStorage, se imprime en la bitácora exportable como cita propia y se puede editar desde el manual. Nombre del salvado, decisiones tomadas y rumbo personal también cuentan.";Editor enriquecido con plantilla de redacción XV para quien no sepa por dónde empezar.
86;Comunidad;Community;Multijugador;20;¿Cómo construyes comunidad alrededor del juego?;"N/A: proyecto pre-comunidad. README abierto, código fuente legible, fuentes citadas.";Página en GitHub con foro de mejoras históricas (Discussions).
87;Griefing;Griefing;Multijugador;100;¿Hay riesgo de que unos jugadores arruinen la experiencia de otros?;N/A: no hay otros jugadores.;Nada que hacer.
88;Amor;Love;Multijugador;80;"¿Tu juego inspira amor (a él, a su mundo, entre jugadores)?";"Inspira amor a la Historia, a la mar y al texto del Diario en muchos casos. Comentarios verbales del usuario sugieren cariño hacia las naves.";Pantalla final emotiva al regresar a Palos.
89;El Equipo;The Team;Equipo;90;¿El equipo trabaja al servicio de la experiencia que se quiere crear?;N/A: proyecto individual (con IA asistencial). La cohesión es trivialmente alta.;Documentar el rol de la IA (Claude) en el README de transparencia.
90;Documentación;Documentation;Equipo;85;¿Hay documentos de diseño que ayuden al equipo a recordar y comunicar las decisiones?;"Existen specs/specs.txt, CLAUDE.md, README, LensAudit.html (este). Sólido.";Añadir changelog y devlog narrativo.
91;Playtesting;Playtesting;Pruebas;70;¿Has playtesteado? ¿Has hecho las preguntas adecuadas?;"Playtesting informal con el usuario (iteración rápida sobre detecciones de bug). Telemetría de auto-playtesting: el panel «Trayectoria del Almirante» registra tiempo al timón manual, número de tomas con cada instrumento, error medio de altura, avistamientos oceánicos, temporales sobrevividos, motines superados y fidelidad a la senda histórica. Exportable a JSON. Permite al diseñador analizar partidas reales sin grabaciones de pantalla.";"Sesiones grabadas con 5 jugadores (3 historiadores, 2 noveles) y entrevistas, contrastadas con los JSON de telemetría exportados por los testers."
92;Tecnología;Technology;Tecnología;90;¿La tecnología elegida es la correcta? Foundational vs. decorational.;"HTML + Three.js + Leaflet por CDN: foundational excelente (sin instalación, multiplataforma).";Migrar Three.js a versión moderna (0.16x) cuando lo necesite el shader.
93;La Bola de Cristal;Crystal Ball;Tecnología;75;¿Cómo será tu juego en 5 años?;"Tecnología WebGL2 / WebGPU; APIs históricas más ricas; voz por TTS. Apuesta razonable para sobrevivir 5 años.";Plan de migración a WebGPU cuando sea estándar.
94;El Cliente;The Client;Negocio;80;¿Quién es tu cliente y qué quiere realmente?;"El cliente es el usuario didáctico-aficionado. Quiere rigor, belleza y aprender. El simulador lo entrega.";Entrevista a 3 educadores y 3 historiadores antes de cerrar v1.0.
95;La Presentación / Pitch;The Pitch;Negocio;75;"¿Tu pitch es convincente? Twelve tips: confianza, brevedad, lenguaje del cliente, ilustración...";N/A directo (no se vende). Pitch implícito en README y splash: convincente.;Video-tráiler de 60 s para difusión.
96;Beneficio;Profit;Negocio;30;¿Cómo se gana dinero? Modelo de negocio claro.;"N/A: proyecto abierto, sin afán comercial.";Si se quisiera monetizar: edición DLC con cartas históricas de alta resolución.
97;Transformación;Transformation;Responsabilidad;90;¿Cómo transformará el juego al jugador? Mejor / peor / qué.;"Sale sabiendo más de 1492 que cuando entró. La pantalla final de cada viaje resume cuántos días llevó, qué hitos cumplió, qué decisiones tomó — invita a reflexionar sobre el contraste con lo histórico.";Compartir el balance final (export PNG o tweet) para socializar el aprendizaje.
98;Responsabilidad;Responsibility;Responsabilidad;95;¿Eres responsable de los efectos de tu juego? ¿Hay algo oculto que avergonzaría?;"Pestaña «La otra orilla» con descripción de taínos y caribes, biografías de Anacaona y Hatuey, cifras del colapso. Nueva capa cartográfica «Cacicazgos taíno-caribes documentados»: marcadores rojos en Jaragua (Anacaona), Maguana (Caonabo), Magua (Guarionex), Higüey (Cotubanamá), Marién (Guacanagarí), Guahaba (Hatuey), Boriquén (Agüeybaná II), Karibí (Dominica), Veragua (Quibián), Cueva (Comagre) — con popup ampliado, fuentes citadas (Las Casas, Pané, Rouse 1992).";"Línea temporal de los hechos de cada cacicazgo (esclavitud, alzamiento, exterminio) sincronizada con la simulación."
99;El Cuervo;The Raven;Responsabilidad;92;¿Tu juego deja algún pensamiento o emoción rondando al jugador después de jugar?;"Sentido de cercanía con gente real de hace 534 años. Cita variable de cierre del IV viaje: el motor contabiliza la senda dominante (humanista por decisiones históricas, técnica por uso de astrolabio/sondaleza, contemplativa por modo Crónica y vistas cinemáticas) y elige una de tres citas finales distintas, etiquetando la senda al jugador. El cuervo deja una huella ajustada a su recorrido.";Ofrecer las tres citas como ramillete al final para que el jugador vea lo que pudo haber sido.
100;Tu Propósito Secreto;Your Secret Purpose;Responsabilidad;100;¿Cuál es tu propósito secreto al hacer este juego? El motivo profundo.;"Propósito confesado en el Manifiesto del simulador (modal Help): «que el jugador vea lo que Colón vio, sin sermón, con respeto al texto y a la mar, sin trivializar lo que vino después».";Logrado en el simulador y documentado.

RESUMEN;;;;;;;
Lentes auditadas;100;;;;;;
Puntuación media;82.69 %;;;;;;
Lentes >= 80 %;85;;;;;;
Lentes <= 40 %;5;;;;;;
